race_date,race_id,race_no,horse_id,horse_name,jockey,trainer,distance,course,f_horse_age,f_draw,f_declared_weight,f_horse_weight,f_weight_change,f_weight_change_pct,f_current_rating,f_rating_change,f_days_since_last_run,f_gallop_count_7d,f_gallop_count_14d,f_gallop_count_28d,f_gallop_last_time_sec,f_swim_count_14d,f_trot_count_14d,f_intensity_score_14d,f_has_partner_gallop,f_gallop_jockey_match_flag,f_vet_days_since_injury,f_vet_recovery_days,f_vet_tendon_issue,f_vet_total_incidents_count,f_vet_recent_90d_flag,f_incident_last_days,f_incident_slow_out_flag,f_incident_gear_lost_flag,f_incident_blocked_flag,f_incident_count_last_5,f_exp_distance_delta,f_exp_gear_first_time,f_exp_gear_removed,f_exp_rating_drop,f_career_total_runs,f_career_win_rate,f_career_top3_rate,f_career_avg_rank_last3,f_career_avg_rank_last5,f_career_avg_margin_last3,f_course_cd_win_rate,f_best_time_sec,f_pace_style_code,f_import_ISG,f_import_PP,f_import_PPG,f_declared_weight_z,f_horse_weight_z,f_current_rating_z,f_intensity_score_14d_z,f_career_avg_rank_last3_z,f_draw_pct,f_rating_change_pct,f_best_time_sec_pct,target_finish_position,target_won
15/07/2026,860,3,HK_2024_K351,勁步速,黃寶妮 (-7),徐雨石,1800,跑馬地,5,4,126.0,987.0,-9.0,-0.00911854103343465,49,-3,18,1,2,3,24.6,0,13,12.5,0,0,382,61,0,1,0,18,1,0,0,1,0,0,1,0,9,0.0,0.0,9.0,9.8,9.166666666666666,0.0,999.0,1,0,1,0,-0.1125087900926024,-1.5048742690857628,-0.1125087900926024,-1.4807428395271929,1.2095677687472157,0.2727272727272727,0.0,1.0,9,0
15/07/2026,860,3,HK_2022_H324,大千氣象,黃智弘 (-3),方嘉柏,1800,跑馬地,6,1,124.0,1206.0,16.0,0.013266998341625208,47,-2,21,1,2,2,24.5,0,13,12.5,0,0,977,30,0,1,0,21,1,0,0,1,0,0,0,-20,0,0.0,0.0,5.666666666666667,5.6,2.9166666666666665,0.1111111111111111,109.21,3,0,0,1,-0.562543950463012,1.297967388715362,-0.562543950463012,-1.4807428395271929,-0.2565749812494093,0.0,0.2727272727272727,0.7272727272727273,7,0
15/07/2026,860,3,HK_2022_H233,北海盜,潘明輝,賀賢,1800,跑馬地,6,10,120.0,1179.0,12.0,0.010178117048346057,43,-2,21,1,2,2,23.6,13,10,24.0,0,0,977,14,0,1,0,21,0,0,0,1,0,0,0,-16,42,0.09523809523809523,0.3333333333333333,5.666666666666667,7.8,3.4166666666666665,0.2,107.7,2,0,0,1,-1.462614271203831,0.9524115678905658,-1.462614271203831,0.25834236774729724,-0.2565749812494093,0.8181818181818182,0.36363636363636365,0.36363636363636365,12,0
15/07/2026,860,3,HK_2023_J502,蜜蜜送,田泰安,韋達,1800,跑馬地,5,9,120.0,1177.0,15.0,0.012744265080713678,43,-2,18,1,2,2,24.1,1,11,12.5,0,0,610,43,0,1,0,18,0,0,0,1,0,0,0,0,19,0.05263157894736842,0.21052631578947367,5.333333333333333,7.2,2.5833333333333335,0.2,107.26,2,0,0,1,-1.462614271203831,0.9268148404220624,-1.462614271203831,-1.4807428395271929,-0.40318925624907204,0.7272727272727273,0.45454545454545453,0.18181818181818182,8,0
15/07/2026,861,4,HK_2024_K041,深心星,莫雷拉,方嘉柏,1650,跑馬地,4,3,135.0,1255.0,5.0,0.00398406374501992,58,0,24,0,0,0,30.0,10,13,16.5,0,0,613,10,0,1,0,24,0,0,0,1,0,0,0,0,10,0.1,0.5,4.333333333333333,3.2,3.5833333333333335,0.0,999.0,1,0,0,1,1.4990671904573165,1.9495803579245676,1.4990671904573178,-1.2866557695344054,-0.7876003995422611,0.18181818181818182,0.8181818181818182,0.8181818181818182,2,0
15/07/2026,861,4,HK_2022_H116,大學生,金誠剛,韋達,1650,跑馬地,7,2,133.0,1238.0,12.0,0.009693053311793215,56,-2,21,1,3,3,25.9,14,9,27.5,0,0,1195,11,0,1,0,21,0,0,0,1,0,1,1,0,44,0.06818181818181818,0.18181818181818182,6.333333333333333,6.8,5.083333333333333,0.09375,98.54,1,0,1,0,1.1163266311916185,1.7028592704452798,1.1163266311916198,0.2643813225070696,-0.1243579578224623,0.09090909090909091,0.18181818181818182,0.0,10,0
15/07/2026,861,4,HK_2023_J098,先到先得,艾道拿,蔡約翰,1650,跑馬地,5,7,131.0,1159.0,5.0,0.004314063848144953,54,0,21,1,2,2,26.0,12,14,27.5,0,0,1030,-1,0,1,0,21,0,0,0,1,0,0,0,0,29,0.10344827586206896,0.3448275862068966,2.3333333333333335,3.0,1.1166666666666667,0.15,99.19,3,0,0,1,0.7335860719259204,0.5563318639238833,0.7335860719259217,0.2643813225070696,-1.45084284126206,0.5454545454545454,0.9090909090909091,0.09090909090909091,4,0
15/07/2026,861,4,HK_2024_K396,凱皇寶,蔡明紹,巫偉傑,1650,跑馬地,4,1,131.0,1101.0,-17.0,-0.015440508628519528,54,-2,56,1,3,4,28.3,13,13,28.5,0,0,35,12,0,1,1,35,0,0,0,1,0,0,0,0,10,0.0,0.0,4.5,5.75,6.625,0.0,100.26,3,0,1,0,0.7335860719259204,-0.28542243453486354,0.7335860719259217,0.40538469451084,-0.7323301960656112,0.0,0.2727272727272727,0.36363636363636365,11,0
15/07/2026,861,4,HK_2024_K009,瑞祺威楓,田泰安,姚本輝,1650,跑馬地,5,9,122.0,1077.0,9.0,0.008356545961002786,45,-2,32,1,3,4,25.2,13,14,29.0,0,0,600,118,0,1,0,32,0,0,0,1,0,0,0,-17,20,0.0,0.25,6.333333333333333,6.6,3.4166666666666665,0.0,99.8,3,0,1,0,-0.9887464447697208,-0.6337345580350346,-0.9887464447697195,0.47588638051272525,-0.1243579578224623,0.7272727272727273,0.36363636363636365,0.2727272727272727,3,0
15/07/2026,861,4,HK_2024_K383,傲然,巫顯東 (-2),鄭俊偉,1650,跑馬地,5,6,121.0,1055.0,22.0,0.02085308056872038,44,-3,32,1,1,3,26.5,2,11,10.5,0,0,76,11,0,1,1,32,0,0,0,1,0,0,0,-22,10,0.0,0.0,11.666666666666666,11.4,8.666666666666666,0.0,99.71,3,0,1,0,-1.1801167244025699,-0.9530206712435249,-1.1801167244025685,-2.132676001557028,1.6442885534303346,0.45454545454545453,0.0,0.18181818181818182,12,0
